,Player,First year,Last year,Position,Height,Weight,Birth Date,College,id
3883,Amar'e Stoudemire,2003,2016,F-C,6-10,245,"November 16, 1982",,stoudam01
3884,Paul Stovall,1973,1974,F,6-4,215,"August 16, 1948",Arizona State University,stovapa01
3885,D.J. Strawberry,2008,2008,G,6-5,201,"June 15, 1985",University of Maryland,strawdj01
3886,Joe Strawder,1966,1968,C,6-10,235,"September 21, 1940",Bradley University,strawjo01
3887,Bill Stricker,1971,1971,F,6-9,210,"January 22, 1948",University of the Pacific,stricbi01
3888,Erick Strickland,1997,2005,G,6-3,210,"November 25, 1973",University of Nebraska,stricer01
3889,Mark Strickland,1995,2003,F,6-9,210,"July 14, 1970",Temple University,stricma01
3890,Rod Strickland,1989,2005,G,6-3,175,"July 11, 1966",DePaul University,stricro02
3891,Roger Strickland,1964,1964,F,6-5,200,"September 4, 1940",Jacksonville University,stricro01
3892,John Stroeder,1988,1989,F,6-10,260,"July 24, 1958",University of Montana,stroejo01
3893,Derek Strong,1992,2001,F,6-8,220,"February 9, 1968",Xavier University,stronde01
3894,Lamont Strothers,1992,1993,G,6-4,190,"May 10, 1968",Christopher Newport University,strotla01
3895,John Stroud,1981,1981,F,6-7,215,"October 29, 1957",University of Mississippi,stroujo01
3896,Red Stroud,1968,1968,G,6-0,160,"May 2, 1941",Mississippi State University,stroure01
3897,Rodney Stuckey,2008,2017,G,6-5,210,"April 21, 1986",Eastern Washington University,stuckro01
3898,Gene Stump,1948,1950,F-G,6-2,185,"November 13, 1923",DePaul University,stumpge01
3899,Stan Stutz,1947,1949,G-F,5-10,170,"April 14, 1920",University of Rhode Island,stutzst01
3900,Gary Suiter,1971,1971,C-F,6-9,225,"January 18, 1945",Midwestern State University,suitega01
3901,Jared Sullinger,2013,2017,F,6-9,260,"March 4, 1992",Ohio State University,sullija01
3902,DaJuan Summers,2010,2013,F,6-8,230,"January 24, 1988",Georgetown University,summeda01
3903,Barry Sumpter,1989,1989,F-C,6-11,215,"November 11, 1965",Austin Peay State University,sumptba01
3904,Don Sunderlage,1954,1955,G,6-1,180,"December 20, 1929",University of Illinois at Urbana-Champaign,sundedo01
3905,Bruno Sundov,1999,2005,C,7-2,220,"February 10, 1980",,sundobr01
3906,Jon Sundvold,1984,1992,G,6-2,170,"July 2, 1961",University of Missouri,sundvjo01
3907,Bob Sura,1996,2005,G,6-5,200,"March 25, 1973",Florida State University,surabo01
3908,Dick Surhoff,1953,1954,F,6-4,210,"November 16, 1929",Long Island University,surhodi01
3909,George Sutor,1968,1970,C,6-8,235,"September 14, 1943",La Salle University,sutorge01
3910,Dane Suttle,1984,1985,G,6-3,190,"August 9, 1961",Pepperdine University,suttlda01
3911,Greg Sutton,1992,1996,G,6-2,170,"December 3, 1967",Oral Roberts University,suttogr01
3912,Keith Swagerty,1969,1970,F,6-7,235,"October 30, 1945",University of the Pacific,swageke01
3913,Bennie Swain,1959,1959,F,6-8,220,"December 16, 1933",Texas Southern University,swainbe01
3914,Caleb Swanigan,2018,2018,F,6-8,250,"April 18, 1997",Purdue University,swanica01
3915,Norm Swanson,1954,1954,F,6-6,210,"October 4, 1930",University of Detroit Mercy,swansno01
3916,Dan Swartz,1963,1963,F,6-4,215,"December 23, 1934",Morehead State University,swartda01
3917,Mike Sweetney,2004,2007,F,6-8,275,"October 25, 1982",Georgetown University,sweetmi01
3918,Robert Swift,2005,2009,C,7-0,245,"December 3, 1985",,swiftro01
3919,Skeeter Swift,1970,1974,G,6-3,204,"June 19, 1946",East Tennessee State University,swiftsk01
3920,Stromile Swift,2001,2009,F,6-9,225,"November 21, 1979",Louisiana State University,swiftst01
3921,Aaron Swinson,1995,1995,F,6-5,230,"January 9, 1971",Auburn University,swinsaa01
3922,Pape Sy,2011,2011,F,6-7,225,"April 5, 1988",,sypa01
3923,Buck Sydnor,1947,1947,G,5-10,175,"September 19, 1921",Western Kentucky University,sydnobu01
3924,Larry Sykes,1996,1996,F,6-9,255,"April 11, 1973",Xavier University,sykesla01
3925,Brett Szabo,1997,1997,C,6-11,230,"February 1, 1968",Augustana College (SD),szabobr01
3926,Wally Szczerbiak,2000,2009,F,6-7,244,"March 5, 1977",Miami University,szczewa02
3927,Walt Szczerbiak,1972,1972,F,6-6,210,"August 21, 1949",George Washington University,szczewa01
3928,Zan Tabak,1995,2001,C,7-0,245,"June 15, 1970",,tabakza01
3929,Yuta Tabuse,2005,2005,G,5-9,165,"October 5, 1980",Brigham Young University Hawaii,tabusyu01
3930,Chris Taft,2006,2006,F,6-10,260,"March 10, 1985",University of Pittsburgh,taftch01
3931,Sid Tanenbaum,1948,1949,G,6-0,160,"October 8, 1925",New York University,tanensi01
3932,Dragan Tarlac,2001,2001,C,6-10,260,"May 9, 1973",,tarladr01
3933,Roy Tarpley,1987,1995,C-F,6-11,230,"November 28, 1964",University of Michigan,tarplro01
3934,Levern Tart,1968,1971,G-F,6-2,195,"June 1, 1942",Bradley University,tartle01
3935,Earl Tatum,1977,1980,G-F,6-5,185,"July 26, 1953",Marquette University,tatumea01
3936,Jayson Tatum,2018,2018,F,6-8,205,"March 3, 1998",Duke University,tatumja01
3937,Edy Tavares,2016,2017,C,7-3,260,"March 22, 1992",,tavarwa01
3938,Anthony Taylor,1989,1989,G,6-4,175,"November 30, 1965",University of Oregon,tayloan01
3939,Brian Taylor,1973,1982,G,6-2,185,"June 9, 1951",Princeton University,taylobr01
3940,Donell Taylor,2006,2007,G,6-6,180,"July 26, 1982",University of Alabama at Birmingham,taylodo01
3941,Fatty Taylor,1970,1977,G,6-0,175,"March 13, 1946",La Salle University,taylofa01
3942,Fred Taylor,1971,1972,G-F,6-5,180,"February 5, 1948",University of Texas-Pan American,taylofr01
3943,Isaiah Taylor,2017,2018,G,6-3,170,"July 11, 1994",University of Texas at Austin,taylois01
3944,Jay Taylor,1990,1990,G,6-3,190,"October 3, 1967",Eastern Illinois University,tayloja01
3945,Jeff Taylor,1983,1987,G,6-4,175,"January 1, 1960",Texas Tech University,tayloje01
3946,Jeffery Taylor,2013,2015,F,6-7,225,"May 23, 1989",Vanderbilt University,tayloje03
3947,Jermaine Taylor,2010,2011,G,6-4,210,"December 8, 1986",University of Central Florida,tayloje02
3948,Johnny Taylor,1998,2000,F,6-9,220,"June 4, 1974",University of Tennessee at Chattanooga,taylojo01
3949,Leonard Taylor,1990,1990,F,6-8,220,"May 2, 1966",University of California,taylole01
3950,Maurice Taylor,1998,2007,F,6-9,260,"October 30, 1976",University of Michigan,tayloma01
3951,Mike Taylor,2009,2009,G,6-2,165,"January 21, 1986",Iowa State University,taylomi01
3952,Oliver Taylor,1971,1974,G-F,6-2,194,"March 7, 1947",University of Houston,taylool01
3953,Ronald Taylor,1970,1972,C,7-1,265,"November 21, 1947",University of Southern California,tayloro01
3954,Tyshawn Taylor,2013,2014,G,6-3,185,"April 12, 1990",University of Kansas,tayloty01
3955,Vince Taylor,1983,1983,G-F,6-5,180,"September 11, 1960",Duke University,taylovi01
3956,Terry Teagle,1983,1993,F-G,6-5,195,"April 10, 1960",Baylor University,teaglte01
3957,Jeff Teague,2010,2018,G,6-2,186,"June 10, 1988",Wake Forest University,teaguje01
3958,Marquis Teague,2013,2014,G,6-2,189,"February 28, 1993",University of Kentucky,teaguma01
3959,Mirza Teletovic,2013,2018,F,6-9,242,"September 18, 1985",,teletmi01
3960,Sebastian Telfair,2005,2015,G,6-0,165,"June 9, 1985",,telfase01
3961,Collis Temple,1975,1975,F,6-8,220,"November 8, 1952",Louisiana State University,templco01
3962,Garrett Temple,2010,2018,G,6-6,195,"May 8, 1986",Louisiana State University,templga01
3963,Milos Teodosic,2018,2018,G,6-5,196,"March 19, 1987",,teodomi01
3964,Ira Terrell,1977,1979,F-C,6-8,200,"June 19, 1954",Southern Methodist University,terreir01
3965,Carlos Terry,1981,1983,G-F,6-5,210,"June 22, 1956",Winston-Salem State University,terryca01
3966,Chuck Terry,1973,1977,F,6-6,215,"September 27, 1950","California State University, Long Beach",terrych01
3967,Claude Terry,1973,1978,G-F,6-4,195,"January 12, 1950",Stanford University,terrycl01
3968,Jason Terry,2000,2018,G,6-2,185,"September 15, 1977",University of Arizona,terryja01
3969,Hasheem Thabeet,2010,2014,C,7-3,263,"February 16, 1987",University of Connecticut,thabeha01
3970,Tom Thacker,1964,1971,G-F,6-2,170,"November 2, 1939",University of Cincinnati,thackto01
3971,Floyd Theard,1970,1970,G,6-1,170,"September 5, 1944",Kentucky State University,thearfl01
3972,Daniel Theis,2018,2018,C,6-9,215,"April 4, 1992",,theisda01
3973,Reggie Theus,1979,1991,G,6-7,190,"October 13, 1957","University of Nevada, Las Vegas",theusre01
3974,Peter Thibeaux,1985,1986,F,6-7,210,"October 3, 1961",Saint Mary's College of California,thibepe01
3975,Bill Thieben,1957,1958,F-C,6-7,215,"March 28, 1935",Hofstra University,thiebbi01
3976,Justus Thigpen,1970,1974,G,6-1,160,"August 13, 1947",Weber State University,thigpju01
3977,David Thirdkill,1983,1987,F-G,6-7,195,"April 12, 1960",Bradley University,thirdda01
3978,Adonis Thomas,2014,2014,F,6-7,200,"March 25, 1993",University of Memphis,thomaad01
3979,Billy Thomas,2005,2008,G,6-4,208,"December 23, 1975",University of Kansas,thomabi01
3980,Carl Thomas,1992,1998,G,6-4,175,"October 3, 1969",Eastern Michigan University,thomaca01
3981,Charles Thomas,1992,1992,G,6-3,175,"October 3, 1969",Eastern Michigan University,thomach01
3982,Etan Thomas,2002,2011,F,6-9,256,"April 1, 1978",Syracuse University,thomaet01
3983,Irving Thomas,1991,1991,F,6-8,225,"January 2, 1966",Florida State University,thomair01
3984,Isaiah Thomas,2012,2018,G,5-9,185,"February 7, 1989",University of Washington,thomais02
3985,Isiah Thomas,1982,1994,G,6-1,180,"April 30, 1961",Indiana University,thomais01
3986,Jamel Thomas,2000,2001,F,6-6,215,"March 25, 1973",Providence College,thomaja01
3987,James Thomas,2005,2006,F,6-8,235,"November 22, 1980",University of Texas at Austin,thomaja02
3988,Jim Thomas,1984,1991,G,6-3,190,"October 19, 1960",Indiana University,thomaji01
3989,Joe Thomas,1971,1971,F,6-6,205,"March 9, 1948",Marquette University,thomajo01
3990,John Thomas,1998,2006,F,6-9,265,"September 8, 1975",University of Minnesota,thomajo02
3991,Kenny Thomas,2000,2010,F,6-7,261,"July 25, 1977",University of New Mexico,thomake01
3992,Kurt Thomas,1996,2013,F,6-9,230,"October 4, 1972",Texas Christian University,thomaku01
3993,Lance Thomas,2012,2018,F,6-8,235,"April 24, 1988",Duke University,thomala01
3994,Malcolm Thomas,2012,2015,F,6-9,225,"November 8, 1988",San Diego State University,thomama01
3995,Ronald Thomas,1973,1976,F,6-6,215,"November 19, 1950",University of Louisville,thomaro01
3996,Terry Thomas,1976,1976,F,6-8,220,"August 20, 1953",University of Detroit Mercy,thomate01
3997,Tim Thomas,1998,2010,F,6-10,230,"February 26, 1977",Villanova University,thomati01
3998,Tyrus Thomas,2007,2015,F,6-9,215,"August 17, 1986",Louisiana State University,thomaty01
3999,Willis Thomas,1968,1968,G,6-2,185,,Tennessee State University,thomawi01
4000,Trey Thompkins,2012,2012,F,6-10,245,"May 20, 1990",University of Georgia,thomptr02
4001,Bernard Thompson,1985,1989,F-G,6-6,210,"August 30, 1962","California State University, Fresno",thompbe01
4002,Billy Thompson,1987,1992,F,6-7,195,"December 1, 1963",University of Louisville,thompbi01
4003,Brooks Thompson,1995,1998,G,6-4,193,"July 19, 1970",Oklahoma State University,thompbr01
4004,Corny Thompson,1983,1983,F,6-8,225,"February 5, 1960",University of Connecticut,thompco01
4005,David Thompson,1976,1984,G-F,6-4,195,"July 13, 1954",North Carolina State University,thompda01
4006,Dijon Thompson,2006,2007,G-F,6-7,195,"February 23, 1983","University of California, Los Angeles",thompdi01
4007,George Thompson,1970,1975,G,6-2,200,"November 29, 1947",Marquette University,thompge01
4008,Hollis Thompson,2014,2017,G-F,6-8,206,"April 3, 1991",Georgetown University,thompho01
4009,Jack Thompson,1969,1969,G,6-1,185,"March 26, 1946",University of South Carolina,thompja01
4010,Jason Thompson,2009,2016,F-C,6-11,250,"July 21, 1986",Rider University,thompja02
4011,John Thompson,1965,1966,F,6-10,225,"September 2, 1941",Providence College,thompjo01
4012,Kevin Thompson,1994,1994,C-F,6-11,260,"February 7, 1971",North Carolina State University,thompke01
4013,Klay Thompson,2012,2018,G-F,6-7,215,"February 8, 1990",Washington State University,thompkl01
4014,LaSalle Thompson,1983,1997,C-F,6-10,245,"June 23, 1961",University of Texas at Austin,thompla01
4015,Mychal Thompson,1979,1991,C-F,6-10,226,"January 30, 1955",University of Minnesota,thompmy01
4016,Mychel Thompson,2012,2012,G,6-6,211,"June 1, 1988",Pepperdine University,thompmy02
4017,Paul Thompson,1984,1986,G-F,6-6,210,"May 25, 1961",Tulane University,thomppa01
4018,Stephen Thompson,1992,1992,G,6-4,185,"December 2, 1968",Syracuse University,thompst01
4019,Tristan Thompson,2012,2018,F-C,6-9,238,"March 13, 1991",University of Texas at Austin,thomptr01
4020,Skip Thoren,1968,1970,C,6-10,230,"April 5, 1943",University of Illinois at Urbana-Champaign,thoresk01
4021,Rod Thorn,1964,1971,G,6-4,195,"May 23, 1941",West Virginia University,thornro01
4022,Al Thornton,2008,2011,F,6-8,220,"December 7, 1983",Florida State University,thornal01
4023,Bob Thornton,1986,1996,F-C,6-10,225,"July 10, 1962","University of California, Irvine",thornbo01
4024,Dallas Thornton,1969,1970,G,6-4,190,"September 1, 1946",Kentucky Wesleyan College,thornda01
4025,Marcus Thornton,2010,2017,G,6-4,205,"June 5, 1987",Louisiana State University,thornma01
4026,Sindarius Thornwell,2018,2018,G,6-5,212,"November 15, 1994",University of South Carolina,thornsi01
4027,Otis Thorpe,1985,2001,F-C,6-9,225,"August 5, 1962",Providence College,thorpot01
4028,Sedale Threatt,1984,1997,G,6-2,175,"September 10, 1961",West Virginia University Institute of Technology,threase01
4029,Nate Thurmond,1964,1977,C-F,6-11,225,"July 25, 1941",Bowling Green State University,thurmna01
4030,Mel Thurston,1948,1948,G,6-0,175,"January 16, 1919",Canisius College,thursme01
4031,Hal Tidrick,1949,1949,F-G,6-1,190,"August 4, 1915",Washington & Jefferson College,tidriha01
4032,Dan Tieman,1963,1963,G,6-0,185,"November 30, 1940",Thomas More College,tiemada01
4033,Darren Tillis,1983,1984,C-F,6-11,215,"February 23, 1960",Cleveland State University,tillida01
4034,Jack Tingle,1948,1949,F,6-4,205,"December 30, 1924",University of Kentucky,tinglja01
4035,George Tinsley,1970,1972,F,6-5,205,"September 19, 1946",Kentucky Wesleyan College,tinslge01
4036,Jamaal Tinsley,2002,2014,G,6-3,195,"February 28, 1978",Iowa State University,tinslja01
4037,Wayman Tisdale,1986,1997,F-C,6-9,240,"June 9, 1964",University of Oklahoma,tisdawa01
4038,Mike Tobey,2017,2017,C,7-0,260,"October 10, 1994",University of Virginia,tobeymi01
4039,Mike Todorovich,1950,1951,F-C,6-5,220,"June 11, 1923",University of Wyoming,todormi01
4040,Ray Tolbert,1982,1989,F,6-9,225,"September 10, 1958",Indiana University,tolbera01
4041,Tom Tolbert,1989,1995,F-C,6-7,235,"October 16, 1965",University of Arizona,tolbeto01
4042,Anthony Tolliver,2009,2018,F-C,6-8,240,"June 1, 1985",Creighton University,tollian01
4043,Dean Tolson,1975,1978,F,6-8,190,"November 25, 1951",University of Arkansas,tolsode01
4044,Rudy Tomjanovich,1971,1981,F,6-8,218,"November 24, 1948",University of Michigan,tomjaru01
4045,Andrew Toney,1981,1988,G,6-3,178,"November 23, 1957",University of Louisiana at Lafayette,toneyan01
4046,Sedric Toney,1986,1994,G,6-2,178,"April 13, 1962",University of Dayton,toneyse01
4047,Andy Tonkovich,1949,1949,G,6-1,185,"November 1, 1922",Marshall University,tonkoan01
4048,Andy Toolson,1991,1996,G-F,6-6,210,"January 19, 1966",Brigham Young University,toolsan01
4049,Jack Toomay,1948,1950,C-F,6-6,215,"August 9, 1922",University of the Pacific,toomaja01
4050,Bernard Toone,1980,1980,F,6-9,210,"July 14, 1956",Marquette University,toonebe01
4051,Irv Torgoff,1947,1949,F,6-2,192,"March 6, 1917",Long Island University,torgoir01
4052,Gene Tormohlen,1963,1970,C-F,6-8,230,"May 12, 1937",University of Tennessee,tormobu01
4053,Oscar Torres,2002,2003,F,6-6,210,"December 18, 1976",,torreos01
4054,Bill Tosheff,1952,1954,G,6-1,175,"June 2, 1926",Indiana University,toshebi01
4055,Bob Tough,1949,1950,G-F,6-0,185,"August 28, 1920",St. John's University,toughbo01
4056,Axel Toupane,2016,2017,G-F,6-7,197,"July 23, 1992",,toupaax01
4057,Monte Towe,1976,1977,G,5-7,150,"September 27, 1953",North Carolina State University,towemo01
4058,Keith Tower,1994,1997,C-F,6-11,250,"May 15, 1970",University of Notre Dame,towerke01
4059,Blackie Towery,1949,1950,F-C,6-4,210,"June 20, 1920",Western Kentucky University,towerbl01
4060,Linton Townes,1983,1985,F-G,6-7,190,"November 30, 1959",James Madison University,towneli01
4061,Karl-Anthony Towns,2016,2018,C-F,7-0,244,"November 15, 1995",University of Kentucky,townska01
4062,Raymond Townsend,1979,1982,G,6-3,175,"December 20, 1955","University of California, Los Angeles",townsra01
4063,George Trapp,1972,1977,F-C,6-8,205,"July 11, 1948","California State University, Long Beach",trappge01
4064,John Trapp,1969,1973,F,6-7,210,"October 2, 1945","University of Nevada, Las Vegas",trappjo01
4065,Robert Traylor,1999,2005,F,6-8,284,"February 1, 1977",University of Michigan,traylro01
4066,Gary Trent,1996,2004,F,6-8,250,"September 22, 1974",Ohio University,trentga01
4067,Jeff Trepagnier,2002,2004,G,6-4,200,"July 11, 1979",University of Southern California,trepaje01
4068,John Tresvant,1965,1973,F-C,6-7,215,"November 6, 1939",Seattle University,tresvjo01
4069,Dick Triptow,1949,1950,G-F,6-0,170,"November 3, 1922",DePaul University,triptdi01
4070,Kelly Tripucka,1982,1991,F-G,6-6,220,"February 16, 1959",University of Notre Dame,tripuke01
4071,Ansley Truitt,1973,1973,C,6-9,215,"August 24, 1950",University of California,truitan01
4072,Cezary Trybanski,2003,2004,C,7-2,240,"September 22, 1979",,trybace01
4073,Jake Tsakalidis,2001,2007,C,7-2,285,"June 10, 1979",,tsakaja01
4074,John Tschogl,1973,1975,F,6-6,206,"April 25, 1950","University of California, Santa Barbara",tschojo01
4075,Lou Tsioropoulos,1957,1959,F,6-5,190,"August 31, 1930",University of Kentucky,tsiorlo01
4076,Nikoloz Tskitishvili,2003,2006,F,7-0,225,"April 14, 1983",,tskitni01
4077,Al Tucker,1968,1972,F,6-8,190,"February 24, 1943",Oklahoma Baptist University,tuckeal01
4078,Alando Tucker,2008,2010,F,6-6,205,"February 11, 1984",University of Wisconsin,tuckeal02
4079,Anthony Tucker,1995,1995,F,6-8,220,"April 4, 1969",Wake Forest University,tuckean01
4080,Jim Tucker,1955,1957,F,6-7,185,"December 11, 1932",Duquesne University,tuckeji01
4081,P.J. Tucker,2007,2018,F,6-6,245,"May 5, 1985",University of Texas at Austin,tuckepj01
4082,Trent Tucker,1983,1993,G,6-5,193,"December 20, 1959",University of Minnesota,tucketr01
4083,Ronny Turiaf,2006,2015,F,6-10,249,"January 13, 1983",Gonzaga University,turiaro01
4084,Mirsad Turkcan,2000,2000,F,6-9,236,"June 7, 1976",,turkcmi01
4085,Hedo Turkoglu,2001,2015,F,6-10,220,"March 19, 1979",,turkohe01
4086,Andre Turner,1987,1992,G,5-11,160,"December 13, 1964",University of Memphis,turnean01
4087,Bill Turner,1968,1973,F,6-7,220,"February 18, 1944",University of Akron,turnebi01
4088,Elston Turner,1982,1989,G-F,6-5,190,"June 10, 1959",University of Mississippi,turneel01
4089,Evan Turner,2011,2018,G,6-7,220,"October 27, 1988",Ohio State University,turneev01
